State,County,Original Medicare
Alabama,Autauga,5784
Alabama,Baldwin,28388
Alabama,Barbour,4372
Alabama,Bibb,2480
Alabama,Blount,6070
Alabama,Bullock,1259
Alabama,Butler,3748
Alabama,Calhoun,20110
Alabama,Chambers,6492
Alabama,Cherokee,4701
Alabama,Chilton,4121
Alabama,Choctaw,3124
Alabama,Clarke,3915
Alabama,Clay,2727
Alabama,Cleburne,2724
Alabama,Coffee,8295
Alabama,Colbert,10567
Alabama,Conecuh,2701
Alabama,Coosa,1962
Alabama,Covington,7750
Alabama,Crenshaw,2283
Alabama,Cullman,12667
Alabama,Dale,8304
Alabama,Dallas,6579
Alabama,DeKalb,10984
Alabama,Elmore,9835
Alabama,Escambia,5844
Alabama,Etowah,15829
Alabama,Fayette,3656
Alabama,Franklin,5395
Alabama,Geneva,5445
Alabama,Greene,1806
Alabama,Hale,3216
Alabama,Henry,3144
Alabama,Houston,16285
Alabama,Jackson,9446
Alabama,Jefferson,62116
Alabama,Lamar,3245
Alabama,Lauderdale,15922
Alabama,Lawrence,5730
Alabama,Lee,15568
Alabama,Limestone,12058
Alabama,Lowndes,1288
Alabama,Macon,2780
Alabama,Madison,46304
Alabama,Marengo,4269
Alabama,Marion,5614
Alabama,Marshall,15354
Alabama,Mobile,37933
Alabama,Monroe,3906
Alabama,Montgomery,23065
Alabama,Morgan,18936
Alabama,Perry,1975
Alabama,Pickens,4098
Alabama,Pike,3893
Alabama,Randolph,4290
Alabama,Russell,7648
Alabama,St. Clair,0
Alabama,Shelby,18752
Alabama,Sumter,2470
Alabama,Talladega,11744
Alabama,Tallapoosa,8121
Alabama,Tuscaloosa,23487
Alabama,Walker,9230
Alabama,Washington,2938
Alabama,Wilcox,2586
Alabama,Winston,4529
Alabama,Unknown,0
Alabama,TOTAL,640531
Alaska,Aleutians East,0
Alaska,Aleutians West,0
Alaska,Anchorage,35153
Alaska,Bethel,0
Alaska,Bristol Bay,0
Alaska,Denali,0
Alaska,Dillingham,0
Alaska,Fairbanks North Star,10415
Alaska,Haines,0
Alaska,Hoonah-Angoon,0
Alaska,Juneau,4573
Alaska,Kenai Peninsula,10476
Alaska,Ketchikan Gateway,2342
Alaska,Kodiak Island,1512
Alaska,Kusilvak,0
Alaska,Lake and Peninsula,0
Alaska,Matanuska-Susitna,12833
Alaska,Nome,0
Alaska,North Slope,0
Alaska,Northwest Arctic,0
Alaska,Petersburg,0
Alaska,Prince of Wales-Hyder,0
Alaska,Sitka,0
Alaska,Skagway,0
Alaska,Southeast Fairbanks,1140
Alaska,Valdez-Cordova,1337
Alaska,Wrangell,0
Alaska,Yakutat,113
Alaska,Yukon-Koyukuk,0
Alaska,Unknown,0
Alaska,TOTAL,90549
Arizona,Apache,11111
Arizona,Cochise,20880
Arizona,Coconino,16264
Arizona,Gila,13849
Arizona,Graham,3573
Arizona,Greenlee,1060
Arizona,La Paz,4305
Arizona,Maricopa,380789
Arizona,Mohave,43359
Arizona,Navajo,17814
Arizona,Pima,113886
Arizona,Pinal,42809
Arizona,Santa Cruz,4365
Arizona,Yavapai,54187
Arizona,Yuma,25671
Arizona,Unknown,0
Arizona,TOTAL,753929
Arkansas,Arkansas,3662
Arkansas,Ashley,4555
Arkansas,Baxter,10699
Arkansas,Benton,27209
Arkansas,Boone,7571
Arkansas,Bradley,2239
Arkansas,Calhoun,1001
Arkansas,Carroll,4947
Arkansas,Chicot,2189
Arkansas,Clark,3578
Arkansas,Clay,3537
Arkansas,Cleburne,6602
Arkansas,Cleveland,1681
Arkansas,Columbia,4402
Arkansas,Conway,4025
Arkansas,Craighead,14571
Arkansas,Crawford,8198
Arkansas,Crittenden,6996
Arkansas,Cross,3132
Arkansas,Dallas,1430
Arkansas,Desha,2392
Arkansas,Drew,3172
Arkansas,Faulkner,16353
Arkansas,Franklin,2862
Arkansas,Fulton,2708
Arkansas,Garland,21496
Arkansas,Grant,3201
Arkansas,Greene,7355
Arkansas,Hempstead,3609
Arkansas,Hot Spring,6024
Arkansas,Howard,2505
Arkansas,Independence,7331
Arkansas,Izard,3086
Arkansas,Jackson,3226
Arkansas,Jefferson,11547
Arkansas,Johnson,4169
Arkansas,Lafayette,1544
Arkansas,Lawrence,3433
Arkansas,Lee,1433
Arkansas,Lincoln,1936
Arkansas,Little River,2542
Arkansas,Logan,4097
Arkansas,Lonoke,10166
Arkansas,Madison,2503
Arkansas,Marion,3698
Arkansas,Miller,6875
Arkansas,Mississippi,6455
Arkansas,Monroe,1610
Arkansas,Montgomery,2054
Arkansas,Nevada,1622
Arkansas,Newton,1855
Arkansas,Ouachita,4528
Arkansas,Perry,2105
Arkansas,Phillips,3324
Arkansas,Pike,2202
Arkansas,Poinsett,4280
Arkansas,Polk,4622
Arkansas,Pope,9466
Arkansas,Prairie,1769
Arkansas,Pulaski,59214
Arkansas,Randolph,3425
Arkansas,St. Francis,3730
Arkansas,Saline,19572
Arkansas,Scott,1875
Arkansas,Searcy,1892
Arkansas,Sebastian,17439
Arkansas,Sevier,2526
Arkansas,Sharp,4788
Arkansas,Stone,3510
Arkansas,Union,7807
Arkansas,Van Buren,3978
Arkansas,Washington,24393
Arkansas,White,13578
Arkansas,Woodruff,1554
Arkansas,Yell,3562
Arkansas,Unknown,0
Arkansas,TOTAL,480223
California,Alameda,134178
California,Alpine,220
California,Amador,8486
California,Butte,47576
California,Calaveras,11005
California,Colusa,3159
California,Contra Costa,99696
California,Del Norte,5485
California,El Dorado,27399
California,Fresno,92925
California,Glenn,5273
California,Humboldt,26241
California,Imperial,27186
California,Inyo,4348
California,Kern,70708
California,Kings,13848
California,Lake,16085
California,Lassen,4826
California,Los Angeles,746398
California,Madera,15721
California,Marin,33956
California,Mariposa,4429
California,Mendocino,20132
California,Merced,30876
California,Modoc,2286
California,Mono,1543
California,Monterey,58118
California,Napa,17957
California,Nevada,23741
California,Orange,242398
California,Placer,41704
California,Plumas,5456
California,Riverside,154953
California,Sacramento,127757
California,San Benito,7431
California,San Bernardino,118152
California,San Diego,268029
California,San Francisco,86393
California,San Joaquin,66519
California,San Luis Obispo,51679
California,San Mateo,68256
California,Santa Barbara,61535
California,Santa Clara,148218
California,Santa Cruz,43701
California,Shasta,45535
California,Sierra,853
California,Siskiyou,11860
California,Solano,43169
California,Sonoma,56119
California,Stanislaus,46501
California,Sutter,16112
California,Tehama,14056
California,Trinity,3321
California,Tulare,50244
California,Tuolumne,14354
California,Ventura,96619
California,Yolo,17438
California,Yuba,11199
California,Unknown,0
California,TOTAL,3473379
Colorado,Adams,27820
Colorado,Alamosa,2228
Colorado,Arapahoe,48564
Colorado,Archuleta,2904
Colorado,Baca,0
Colorado,Bent,1011
Colorado,Boulder,29768
Colorado,Broomfield,4662
Colorado,Chaffee,4159
Colorado,Cheyenne,356
Colorado,Clear Creek,1104
Colorado,Conejos,1367
Colorado,Costilla,886
Colorado,Crowley,696
Colorado,Custer,1246
Colorado,Delta,6624
Colorado,Denver,44828
Colorado,Dolores,482
Colorado,Douglas,24067
Colorado,Eagle,4938
Colorado,Elbert,2885
Colorado,El Paso,68530
Colorado,Fremont,7854
Colorado,Garfield,7008
Colorado,Gilpin,580
Colorado,Grand,2018
Colorado,Gunnison,2076
Colorado,Hinsdale,206
Colorado,Huerfano,1866
Colorado,Jackson,290
Colorado,Jefferson,46647
Colorado,Kiowa,0
Colorado,Kit Carson,1395
Colorado,Lake,892
Colorado,La Plata,8657
Colorado,Larimer,39815
Colorado,Las Animas,3237
Colorado,Lincoln,953
Colorado,Logan,3528
Colorado,Mesa,21069
Colorado,Mineral,224
Colorado,Moffat,1960
Colorado,Montezuma,5457
Colorado,Montrose,8061
Colorado,Morgan,4333
Colorado,Otero,3751
Colorado,Ouray,1052
Colorado,Park,2451
Colorado,Phillips,896
Colorado,Pitkin,2685
Colorado,Prowers,2339
Colorado,Pueblo,23301
Colorado,Rio Blanco,906
Colorado,Rio Grande,2423
Colorado,Routt,3237
Colorado,Saguache,1013
Colorado,San Juan,0
Colorado,San Miguel,877
Colorado,Sedgwick,624
Colorado,Summit,2864
Colorado,Teller,3787
Colorado,Washington,977
Colorado,Weld,26479
Colorado,Yuma,1826
Colorado,Unknown,0
Colorado,TOTAL,530148
Connecticut,Fairfield,115204
Connecticut,Hartford,111765
Connecticut,Litchfield,30517
Connecticut,Middlesex,24651
Connecticut,New Haven,111041
Connecticut,New London,42078
Connecticut,Tolland,17771
Connecticut,Windham,16819
Connecticut,Unknown,0
Connecticut,TOTAL,469847
Delaware,Kent,30248
Delaware,New Castle,82464
Delaware,Sussex,58437
Delaware,Unknown,0
Delaware,TOTAL,171150
District of Columbia,District Of Columbia,76568
District of Columbia,Unknown,0
District of Columbia,TOTAL,76569
Florida,Alachua,32424
Florida,Baker,3339
Florida,Bay,28543
Florida,Bradford,4011
Florida,Brevard,91948
Florida,Broward,139915
Florida,Calhoun,1911
Florida,Charlotte,42743
Florida,Citrus,35856
Florida,Clay,28632
Florida,Collier,72011
Florida,Columbia,11043
Florida,DeSoto,4936
Florida,Dixie,2894
Florida,Duval,98983
Florida,Escambia,46260
Florida,Flagler,20168
Florida,Franklin,1966
Florida,Gadsden,4661
Florida,Gilchrist,2841
Florida,Glades,1629
Florida,Gulf,2876
Florida,Hamilton,2138
Florida,Hardee,3071
Florida,Hendry,3953
Florida,Hernando,26855
Florida,Highlands,21424
Florida,Hillsborough,115571
Florida,Holmes,3665
Florida,Indian River,36261
Florida,Jackson,8620
Florida,Jefferson,1828
Florida,Lafayette,850
Florida,Lake,61597
Florida,Lee,121069
Florida,Leon,22060
Florida,Levy,7802
Florida,Liberty,788
Florida,Madison,3007
Florida,Manatee,60743
Florida,Marion,62428
Florida,Martin,31815
Florida,Miami-Dade,154817
Florida,Monroe,14521
Florida,Nassau,14227
Florida,Okaloosa,31845
Florida,Okeechobee,5109
Florida,Orange,93035
Florida,Osceola,23056
Florida,Palm Beach,193650
Florida,Pasco,58278
Florida,Pinellas,124734
Florida,Polk,73833
Florida,Putnam,12732
Florida,St. Johns,37197
Florida,St. Lucie,45204
Florida,Santa Rosa,22857
Florida,Sarasota,97643
Florida,Seminole,44756
Florida,Sumter,41660
Florida,Suwannee,8190
Florida,Taylor,3633
Florida,Union,1572
Florida,Volusia,72887
Florida,Wakulla,2824
Florida,Walton,10451
Florida,Washington,4177
Florida,Unknown,0
Florida,TOTAL,2468028
Georgia,Appling,2561
Georgia,Atkinson,924
Georgia,Bacon,1460
Georgia,Baker,441
Georgia,Baldwin,4732
Georgia,Banks,2380
Georgia,Barrow,7336
Georgia,Bartow,11745
Georgia,Ben Hill,2431
Georgia,Berrien,2609
Georgia,Bibb,18852
Georgia,Bleckley,1889
Georgia,Brantley,2387
Georgia,Brooks,2432
Georgia,Bryan,3329
Georgia,Bulloch,6886
Georgia,Burke,2641
Georgia,Butts,2702
Georgia,Calhoun,766
Georgia,Camden,6097
Georgia,Candler,1471
Georgia,Carroll,12878
Georgia,Catoosa,9223
Georgia,Charlton,1519
Georgia,Chatham,29508
Georgia,Chattahoochee,373
Georgia,Chattooga,3582
Georgia,Cherokee,23744
Georgia,Clarke,10856
Georgia,Clay,477
Georgia,Clayton,18079
Georgia,Clinch,991
Georgia,Cobb,63551
Georgia,Coffee,4742
Georgia,Colquitt,6011
Georgia,Columbia,14996
Georgia,Cook,2375
Georgia,Coweta,13815
Georgia,Crawford,1566
Georgia,Crisp,2809
Georgia,Dade,2459
Georgia,Dawson,3200
Georgia,Decatur,3936
Georgia,DeKalb,55373
Georgia,Dodge,2881
Georgia,Dooly,1489
Georgia,Dougherty,11151
Georgia,Douglas,11842
Georgia,Early,1525
Georgia,Echols,368
Georgia,Effingham,5682
Georgia,Elbert,3125
Georgia,Emanuel,3088
Georgia,Evans,1287
Georgia,Fannin,5779
Georgia,Fayette,14810
Georgia,Floyd,13978
Georgia,Forsyth,16770
Georgia,Franklin,3477
Georgia,Fulton,78219
Georgia,Gilmer,5724
Georgia,Glascock,415
Georgia,Glynn,12914
Georgia,Gordon,7483
Georgia,Grady,3445
Georgia,Greene,3786
Georgia,Gwinnett,58784
Georgia,Habersham,5848
Georgia,Hall,22489
Georgia,Hancock,1197
Georgia,Haralson,3999
Georgia,Harris,4444
Georgia,Hart,4314
Georgia,Heard,1417
Georgia,Henry,18474
Georgia,Houston,18450
Georgia,Irwin,1354
Georgia,Jackson,7623
Georgia,Jasper,1866
Georgia,Jeff Davis,1966
Georgia,Jefferson,2465
Georgia,Jenkins,1059
Georgia,Johnson,1161
Georgia,Jones,3383
Georgia,Lamar,2290
Georgia,Lanier,1121
Georgia,Laurens,6966
Georgia,Lee,3168
Georgia,Liberty,4736
Georgia,Lincoln,1293
Georgia,Long,1113
Georgia,Lowndes,13007
Georgia,Lumpkin,4292
Georgia,McDuffie,2480
Georgia,McIntosh,1801
Georgia,Macon,1403
Georgia,Madison,3958
Georgia,Marion,982
Georgia,Meriwether,2815
Georgia,Miller,908
Georgia,Mitchell,2840
Georgia,Monroe,3885
Georgia,Montgomery,1158
Georgia,Morgan,2618
Georgia,Murray,5901
Georgia,Muscogee,22169
Georgia,Newton,10019
Georgia,Oconee,4421
Georgia,Oglethorpe,2005
Georgia,Paulding,12324
Georgia,Peach,3553
Georgia,Pickens,5952
Georgia,Pierce,2929
Georgia,Pike,2238
Georgia,Polk,5799
Georgia,Pulaski,1483
Georgia,Putnam,3673
Georgia,Quitman,471
Georgia,Rabun,3660
Georgia,Randolph,1012
Georgia,Richmond,21715
Georgia,Rockdale,8404
Georgia,Schley,516
Georgia,Screven,2078
Georgia,Seminole,1607
Georgia,Spalding,8656
Georgia,Stephens,4398
Georgia,Stewart,529
Georgia,Sumter,3686
Georgia,Talbot,904
Georgia,Taliaferro,256
Georgia,Tattnall,2472
Georgia,Taylor,1109
Georgia,Telfair,1625
Georgia,Terrell,1324
Georgia,Thomas,6871
Georgia,Tift,5049
Georgia,Toombs,3858
Georgia,Towns,3243
Georgia,Treutlen,862
Georgia,Troup,8715
Georgia,Turner,1186
Georgia,Twiggs,1358
Georgia,Union,5760
Georgia,Upson,3771
Georgia,Walker,9997
Georgia,Walton,9912
Georgia,Ware,5754
Georgia,Warren,802
Georgia,Washington,2572
Georgia,Wayne,3968
Georgia,Webster,315
Georgia,Wheeler,750
Georgia,White,4447
Georgia,Whitfield,13707
Georgia,Wilcox,1107
Georgia,Wilkes,1749
Georgia,Wilkinson,1495
Georgia,Worth,2829
Georgia,Unknown,0
Georgia,TOTAL,1051459
Hawaii,Hawaii,27129
Hawaii,Honolulu,91749
Hawaii,Kalawao,0
Hawaii,Kauai,8688
Hawaii,Maui,14700
Hawaii,Unknown,0
Hawaii,TOTAL,142266
Idaho,Ada,38774
Idaho,Adams,1017
Idaho,Bannock,10230
Idaho,Bear Lake,1360
Idaho,Benewah,2468
Idaho,Bingham,5998
Idaho,Blaine,3576
Idaho,Boise,1123
Idaho,Bonner,8145
Idaho,Bonneville,14135
Idaho,Boundary,2207
Idaho,Butte,0
Idaho,Camas,187
Idaho,Canyon,17514
Idaho,Caribou,1282
Idaho,Cassia,3100
Idaho,Clark,86
Idaho,Clearwater,2613
Idaho,Custer,1221
Idaho,Elmore,3353
Idaho,Franklin,1871
Idaho,Fremont,2044
Idaho,Gem,2456
Idaho,Gooding,2189
Idaho,Idaho,4000
Idaho,Jefferson,3065
Idaho,Jerome,2277
Idaho,Kootenai,24923
Idaho,Latah,5285
Idaho,Lemhi,2468
Idaho,Lewis,1809
Idaho,Lincoln,785
Idaho,Madison,2333
Idaho,Minidoka,2599
Idaho,Nez Perce,7367
Idaho,Oneida,939
Idaho,Owyhee,1379
Idaho,Payette,3314
Idaho,Power,1066
Idaho,Shoshone,3531
Idaho,Teton,1275
Idaho,Twin Falls,10452
Idaho,Valley,1884
Idaho,Washington,2095
Idaho,Unknown,0
Idaho,TOTAL,210393
Illinois,Adams,12677
Illinois,Alexander,1451
Illinois,Bond,2917
Illinois,Boone,6910
Illinois,Brown,854
Illinois,Bureau,6438
Illinois,Calhoun,999
Illinois,Carroll,3071
Illinois,Cass,2045
Illinois,Champaign,15666
Illinois,Christian,6037
Illinois,Clark,2948
Illinois,Clay,2925
Illinois,Clinton,6199
Illinois,Coles,7335
Illinois,Cook,590171
Illinois,Crawford,3862
Illinois,Cumberland,1828
Illinois,DeKalb,11673
Illinois,DeWitt,2635
Illinois,Douglas,2506
Illinois,DuPage,118056
Illinois,Edgar,3517
Illinois,Edwards,1397
Illinois,Effingham,6294
Illinois,Fayette,3897
Illinois,Ford,2272
Illinois,Franklin,7656
Illinois,Fulton,6031
Illinois,Gallatin,1210
Illinois,Greene,2618
Illinois,Grundy,7149
Illinois,Hamilton,1673
Illinois,Hancock,3944
Illinois,Hardin,999
Illinois,Henderson,1387
Illinois,Henry,8150
Illinois,Iroquois,5780
Illinois,Jackson,7421
Illinois,Jasper,1886
Illinois,Jefferson,7145
Illinois,Jersey,4156
Illinois,Jo Daviess,3243
Illinois,Johnson,2321
Illinois,Kane,56474
Illinois,Kankakee,17269
Illinois,Kendall,11654
Illinois,Knox,8396
Illinois,Lake,90264
Illinois,LaSalle,20184
Illinois,Lawrence,2853
Illinois,Lee,6304
Illinois,Livingston,5867
Illinois,Logan,4367
Illinois,McDonough,4355
Illinois,McHenry,42523
Illinois,McLean,17769
Illinois,Macon,20564
Illinois,Macoupin,9205
Illinois,Madison,35508
Illinois,Marion,8102
Illinois,Marshall,2316
Illinois,Mason,2981
Illinois,Massac,3293
Illinois,Menard,1781
Illinois,Mercer,2729
Illinois,Monroe,4148
Illinois,Montgomery,5664
Illinois,Morgan,6146
Illinois,Moultrie,2599
Illinois,Ogle,7936
Illinois,Peoria,24025
Illinois,Perry,3449
Illinois,Piatt,2146
Illinois,Pike,3165
Illinois,Pope,764
Illinois,Pulaski,1292
Illinois,Putnam,1053
Illinois,Randolph,5099
Illinois,Richland,3249
Illinois,Rock Island,19286
Illinois,St. Clair,30977
Illinois,Saline,4994
Illinois,Sangamon,25285
Illinois,Schuyler,1289
Illinois,Scott,805
Illinois,Shelby,4524
Illinois,Stark,934
Illinois,Stephenson,6920
Illinois,Tazewell,20011
Illinois,Union,3463
Illinois,Vermilion,11218
Illinois,Wabash,2329
Illinois,Warren,2738
Illinois,Washington,2597
Illinois,Wayne,3475
Illinois,White,3219
Illinois,Whiteside,11053
Illinois,Will,75918
Illinois,Williamson,11737
Illinois,Winnebago,38916
Illinois,Woodford,5822
Illinois,Unknown,0
Illinois,TOTAL,1632353
Indiana,Adams,3934
Indiana,Allen,35123
Indiana,Bartholomew,12398
Indiana,Benton,1494
Indiana,Blackford,2414
Indiana,Boone,7339
Indiana,Brown,2778
Indiana,Carroll,3315
Indiana,Cass,6144
Indiana,Clark,17126
Indiana,Clay,4745
Indiana,Clinton,4897
Indiana,Crawford,2030
Indiana,Daviess,4912
Indiana,Dearborn,7974
Indiana,Decatur,4124
Indiana,DeKalb,4689
Indiana,Delaware,18597
Indiana,Dubois,7552
Indiana,Elkhart,23608
Indiana,Fayette,5271
Indiana,Floyd,11775
Indiana,Fountain,3217
Indiana,Franklin,4009
Indiana,Fulton,2876
Indiana,Gibson,4868
Indiana,Grant,12169
Indiana,Greene,5957
Indiana,Hamilton,30186
Indiana,Hancock,9652
Indiana,Harrison,6632
Indiana,Hendricks,17066
Indiana,Henry,8192
Indiana,Howard,15634
Indiana,Huntington,4303
Indiana,Jackson,6143
Indiana,Jasper,5512
Indiana,Jay,3329
Indiana,Jefferson,5976
Indiana,Jennings,4494
Indiana,Johnson,18648
Indiana,Knox,7015
Indiana,Kosciusko,8762
Indiana,LaGrange,3681
Indiana,Lake,66081
Indiana,LaPorte,18410
Indiana,Lawrence,8356
Indiana,Madison,20144
Indiana,Marion,97954
Indiana,Marshall,5692
Indiana,Martin,2042
Indiana,Miami,5508
Indiana,Monroe,16200
Indiana,Montgomery,5511
Indiana,Morgan,10283
Indiana,Newton,2290
Indiana,Noble,4983
Indiana,Ohio,960
Indiana,Orange,3613
Indiana,Owen,3634
Indiana,Parke,2767
Indiana,Perry,3514
Indiana,Pike,2237
Indiana,Porter,23616
Indiana,Posey,3937
Indiana,Pulaski,2370
Indiana,Putnam,5197
Indiana,Randolph,4966
Indiana,Ripley,4414
Indiana,Rush,2848
Indiana,St. Joseph,32668
Indiana,Scott,4349
Indiana,Shelby,6359
Indiana,Spencer,3576
Indiana,Starke,4404
Indiana,Steuben,4448
Indiana,Sullivan,3552
Indiana,Switzerland,1441
Indiana,Tippecanoe,18825
Indiana,Tipton,2742
Indiana,Union,1212
Indiana,Vanderburgh,26150
Indiana,Vermillion,3179
Indiana,Vigo,18015
Indiana,Wabash,4825
Indiana,Warren,1522
Indiana,Warrick,8979
Indiana,Washington,4341
Indiana,Wayne,13920
Indiana,Wells,3445
Indiana,White,4409
Indiana,Whitley,3383
Indiana,Unknown,0
Indiana,TOTAL,883826
Iowa,Adair,1514
Iowa,Adams,919
Iowa,Allamakee,2889
Iowa,Appanoose,2669
Iowa,Audubon,1479
Iowa,Benton,4095
Iowa,Black Hawk,17054
Iowa,Boone,4838
Iowa,Bremer,4028
Iowa,Buchanan,2988
Iowa,Buena Vista,3290
Iowa,Butler,2977
Iowa,Calhoun,2358
Iowa,Carroll,4278
Iowa,Cass,3177
Iowa,Cedar,3101
Iowa,Cerro Gordo,10356
Iowa,Cherokee,2555
Iowa,Chickasaw,2493
Iowa,Clarke,1842
Iowa,Clay,3709
Iowa,Clayton,3477
Iowa,Clinton,8563
Iowa,Crawford,2982
Iowa,Dallas,8934
Iowa,Davis,1412
Iowa,Decatur,1508
Iowa,Delaware,2695
Iowa,Des Moines,8489
Iowa,Dickinson,4609
Iowa,Dubuque,8929
Iowa,Emmet,2156
Iowa,Fayette,4078
Iowa,Floyd,3565
Iowa,Franklin,2174
Iowa,Fremont,1563
Iowa,Greene,1991
Iowa,Grundy,2236
Iowa,Guthrie,2261
Iowa,Hamilton,3051
Iowa,Hancock,2415
Iowa,Hardin,3760
Iowa,Harrison,2879
Iowa,Henry,3956
Iowa,Howard,2141
Iowa,Humboldt,2043
Iowa,Ida,1521
Iowa,Iowa,2853
Iowa,Jackson,3362
Iowa,Jasper,6781
Iowa,Jefferson,3609
